nb_loss,kl_loss,epoch,step
0.9248443841934204,1058.5081787109375,0,49
2.5857553482055664,1057.904052734375,1,99
2.029426097869873,1031.8564453125,1,149
2.0523505210876465,1020.8099365234375,2,199
1.8300400972366333,1028.0545654296875,3,249
1.905478596687317,998.976318359375,3,299
1.8358820676803589,1005.5462646484375,4,349
1.982301950454712,1037.929443359375,4,399
1.6747688055038452,976.85693359375,5,449
2.032205104827881,1002.04931640625,6,499
1.7317712306976318,980.9072265625,6,549
1.8446849584579468,1020.1739501953125,7,599
1.6955835819244385,988.6385498046875,8,649
1.9259246587753296,990.6852416992188,8,699
1.6592249870300293,1022.1677856445312,9,749
1.832475185394287,1031.791748046875,9,799
1.720107913017273,988.2357788085938,10,849
1.9867799282073975,1010.5587158203125,11,899
1.7421753406524658,1003.7564697265625,11,949
2.032557487487793,1053.614013671875,12,999
2.065701961517334,1002.5078125,13,1049
2.149221420288086,1010.7242431640625,13,1099
2.108642578125,1007.4569091796875,14,1149
2.389782428741455,1038.209228515625,14,1199
2.6296515464782715,980.7310180664062,15,1249
2.778776168823242,966.2249755859375,16,1299
2.7946090698242188,982.1083374023438,16,1349
2.9966976642608643,1006.5123901367188,17,1399
2.7943575382232666,966.6248168945312,18,1449
2.874310255050659,1046.639892578125,18,1499
2.939514636993408,986.4859619140625,19,1549
2.8401331901550293,995.93359375,19,1599
